id;title;original_language;release_date;popularity;vote_average;runtime;genre_names;;;
201;Ring of Darkness;it;29/10/1979;1.847;5.1;106;Horror;;;
202;Obscene Desire;it;04/12/1978;1.117;4.8;100;Horror;;;
203;Shadow Realm;en;27/07/2002;1.711;0;120;Horror, Thriller;;;
204;Death Line;en;13/10/1972;5.848;5.9;87;Horror;;;
205;I Know What You Did Last Summer;en;17/10/1997;34.017;5.9;101;Horror, Mystery, Thriller;;;
206;I Still Know What You Did Last Summer;en;13/11/1998;23.219;5.3;100;Horror, Mystery, Thriller;;;
207;I'll Always Know What You Did Last Summer;en;;;;;;;;
208;Black Sheep;en;29/03/2007;15.492;5.8;87;Comedy, Horror;;;
209;Seven Blood-Stained Orchids;it;24/02/1972;12.75;5.9;92;Horror, Mystery, Thriller;;;
210;Violent Blood Bath;es;01/01/1973;0.74;8;89;Horror;;;
211;Onibaba;ja;21/11/1964;11.949;7.7;105;Drama, Horror;;;
212;Critters;en;11/04/1986;31.428;6.4;86;Comedy, Horror, Science Fiction;;;
213;The Scary Movie;en;01/01/1993;0.6;6.6;7;Horror;;;
214;Scary Texas Movie;en;01/01/1997;0.841;0;72;Horror;;;
215;The Erotic Ghost;en;01/01/2001;3.886;3.5;72;Fantasy, Horror;;;
216;Scream;en;20/12/1996;67.783;7.4;112;Crime, Horror, Mystery;;;
217;Scream 2;en;12/12/1997;51.026;6.4;120;Horror, Mystery;;;
218;Scream 3;en;03/02/2000;37.529;5.9;116;Horror, Mystery;;;
219;Freak Out;en;15/10/2004;2.1;6.4;92;Comedy, Horror;;;
220;The Erotic Mirror;en;26/03/2002;3.882;3;117;Drama, Horror;;;
221;Titanic 2000;en;01/01/1999;8.075;3.3;85;Comedy, Horror;;;
222;Visitor Q;ja;17/03/2001;10.163;6.5;84;Comedy, Drama, Horror, Thriller;;;
223;Scary Movie;en;18/10/1991;3.581;5.5;88;Comedy, Horror, Thriller;;;
224;Primeval;en;12/01/2007;35.757;6.1;93;Adventure, Horror;;;
225;Sasquatch Hunters;en;04/12/2005;2.184;4.5;88;Horror;;;
226;The Final Terror;en;01/05/1983;4.542;5;82;Horror, Thriller;;;
227;Dinocroc;en;20/04/2004;5.377;4.2;86;Horror, Science Fiction, Thriller;;;
228;Supergator;en;14/07/2007;3.364;6.2;91;Horror;;;
229;Parapsycho: Spectrum of Fear;de;02/05/1975;1.156;5;105;Drama, Horror;;;
230;The Birds II: Land's End;en;19/03/1994;3.721;3.2;87;Horror, TV Movie;;;
231;Munchies;en;01/03/1987;4.701;4.7;87;Comedy, Horror, Science Fiction;;;
232;Dark Wolf;en;15/04/2003;1.74;3.4;94;Horror;;;
233;Goy;en;31/12/2007;0.637;0;79;Horror, Thriller;;;
234;Shadowman;fr;20/11/1974;1.698;5.8;104;Horror, Thriller;;;
235;Witchery;en;01/12/1988;8.704;5.1;95;Horror;;;
236;Friday the 13th;en;09/05/1980;58.957;6.4;95;Horror;;;
237;Rapture;es;09/06/1980;3.957;6.6;110;Drama, Fantasy, Horror;;;
238;A Tale of Two Sisters;ko;13/06/2003;32.2;7.1;115;Drama, Horror, Mystery;;;
239;The Females;de;22/12/1970;1.314;6.3;80;Crime, Drama, Horror;;;
240;Krabat;de;07/09/2008;7.344;5.8;120;Action, Fantasy, Horror;;;
241;Body Snatchers;en;09/06/1993;9.639;6.1;87;Horror, Science Fiction, Thriller;;;
242;Mimic;en;22/08/1997;16.409;6;105;Fantasy, Horror, Science Fiction, Thriller;;;
243;Gothika;en;21/11/2003;31.591;6.1;98;Horror, Thriller;;;
244;Carry On Screaming;en;20/05/1966;5.642;6.6;87;Comedy, Horror;;;
245;The Burning Court;fr;30/03/1962;0.84;5.4;110;Drama, Horror, Mystery;;;
246;Severance;en;19/05/2006;10.664;6.3;96;Comedy, Horror, Thriller;;;
247;Blood of the Undead: The Unwanted;en;01/01/1987;0.6;0;32;Horror;;;
248;Dust Devil;en;11/07/1992;15.654;6.3;103;Horror, Mystery, Thriller;;;
249;Apartment Zero;en;02/09/1989;2.983;6.7;124;Drama, Horror, Thriller;;;
250;Salò, or the 120 Days of Sodom;it;10/01/1976;46.125;6.5;117;Drama, Horror;;;
251;Monster Hunter;it;01/10/1981;6.262;5.5;96;Horror;;;
252;Anthropophagous;it;07/08/1980;8.215;5.4;92;Horror, Thriller;;;
253;Beyond the Darkness;it;15/11/1979;5.209;6.4;94;Horror;;;
254;Death Smiles on a Murderer;it;11/07/1973;38.78;5.8;88;Horror;;;
255;Shock;it;12/08/1977;5.362;6.3;95;Horror, Thriller;;;
256;Lisa and the Devil;it;08/05/1973;5.669;6.2;95;Fantasy, Horror;;;
257;Baron Blood;it;25/02/1972;5.597;6.1;98;Horror;;;
258;A Bay of Blood;it;08/09/1971;12.253;6.7;85;Horror, Thriller;;;
259;Neowolf;en;19/04/2010;2.635;2.9;90;Horror, Thriller;;;
260;Count Dracula;de;03/04/1970;6.889;5.9;98;Horror;;;
261;Dairy of Terror;en;25/11/2007;0.6;0;65;Comedy, Horror;;;
262;The Worm Eaters;en;12/04/1977;1.4;4.7;90;Comedy, Horror;;;
263;Hollywood Rated 'R';en;19/06/1997;0.854;4.8;90;Documentary, Horror, Science Fiction;;;
264;Elvira, Mistress of the Dark;en;30/09/1988;17.003;6.5;96;Comedy, Fantasy, Horror;;;
265;Inn of the Damned;en;13/11/1975;1.451;3.6;118;Action, Horror;;;
266;Scalps;en;03/12/1983;4.022;4;84;Horror;;;
267;Biohazard;en;03/08/1985;3.437;3.6;79;Horror, Science Fiction;;;
268;The Tomb;en;13/05/1986;4.603;3.4;84;Fantasy, Horror;;;
269;Sledgehammer;en;12/07/1983;2.175;3.6;87;Horror, Thriller;;;
270;Killer Workout;en;16/04/1987;3.795;5;84;Horror, Thriller;;;
271;Possessed by the Night;en;25/05/1994;4.134;4.4;84;Horror, Thriller;;;
272;Baghead;en;21/01/2008;5.808;5.8;84;Comedy, Drama, Horror, Romance;;;
273;The Mummy Lives;en;10/07/1993;2.137;4.4;87;Drama, Horror;;;
274;After Death;en;27/07/1990;4.967;5.1;84;Action, Horror;;;
275;Versus;ja;23/10/2000;6.779;6.2;119;Action, Fantasy, Horror, Thriller;;;
276;Alive;ja;21/06/2003;3.317;5.5;119;Action, Drama, Horror, Science Fiction, Thriller;;;
277;Aragami;ja;27/03/2003;4.033;6.9;76;Action, Horror;;;
278;Sky High;ja;05/12/2003;3.238;6.3;122;Action, Horror, Thriller;;;
279;I Know Who Killed Me;en;27/07/2007;10.847;4.5;105;Horror, Thriller;;;
280;The Mist;en;21/11/2007;34.23;6.9;126;Horror, Science Fiction, Thriller;;;
281;Brain Dead;en;16/01/1990;8.996;5.9;85;Horror, Science Fiction, Thriller;;;
282;Joshua;en;;;;;;;;
283;The Witches of Eastwick;en;12/06/1987;17.352;6.5;118;Comedy, Fantasy, Horror;;;
284;Bram Stoker's Dracula;en;13/11/1992;45.348;7.4;128;Horror, Romance;;;
285;Can I Be Your Bratwurst, Please?;en;03/05/1999;1.471;5.1;30;Comedy, Horror;;;
286;Dreamcatcher;en;21/03/2003;23.125;5.5;136;Drama, Horror, Science Fiction, Thriller;;;
287;The Murders in the Rue Morgue;en;07/12/1986;3.669;6.3;100;Crime, Horror, Mystery, TV Movie;;;
288;Cat People;en;02/04/1982;12.862;6;118;Horror;;;
289;The Crows;de;14/11/2006;0.609;3.9;90;Horror, Thriller;;;
290;Brotherhood of the Wolf;fr;31/01/2001;15.357;6.7;137;Action, Adventure, History, Horror;;;
291;Nosferatu the Vampyre;de;17/01/1979;17.643;7.4;107;Drama, Horror;;;
292;Freddy vs. Jason;en;15/08/2003;72.488;6;97;Horror;;;
293;Arachnophobia;en;20/07/1990;15.25;6.4;103;Comedy, Horror;;;
294;Nightwatch;da;25/02/1994;9.64;6.9;107;Horror, Thriller;;;
295;The Orphanage;es;20/05/2007;76.355;7.2;105;Drama, Horror, Thriller;;;
296;Idle Hands;en;30/04/1999;12.503;6.1;92;Comedy, Fantasy, Horror;;;
297;What Have You Done to Solange?;it;09/03/1972;10.261;6.8;107;Horror, Mystery, Thriller;;;
298;The Gate;en;21/04/1987;10.085;6;86;Fantasy, Horror;;;
299;One Missed Call;en;04/01/2008;20.351;5.4;87;Horror, Mystery, Thriller;;;
300;The Woods;en;25/09/2006;9.344;5.7;91;Horror, Mystery, Thriller;;;
301;Whoever Slew Auntie Roo?;en;11/02/1972;3.551;6.6;91;Horror, Thriller;;;
302;White Noise 2: The Light;en;05/01/2007;9.465;5.5;99;Fantasy, Horror, Thriller;;;
303;Making Contact;en;21/11/1985;3.535;5.7;94;Adventure, Fantasy, Horror, Science Fiction;;;
304;Vampire's Kiss;en;17/09/1988;8.615;5.9;103;Comedy, Horror;;;
