id;title;original_language;release_date;popularity;vote_average;runtime;genre_names;;;
10826;Happy B-Day;en;01/07/2013;0.6;5.7;8;Comedy, Horror;;;
10827;A Gun in the House;en;11/02/1981;0.6;6.3;100;Crime, Horror, Thriller;;;
10828;Among Us;en;02/05/2004;0.6;6;85;Comedy, Horror;;;
10829;I Am a Hero;ja;23/04/2016;21.06;7.3;126;Action, Drama, Horror;;;
10830;Scary Tales;en;01/01/1993;0.737;6.3;70;Horror;;;
10831;Natural Selection;en;10/01/1994;0.6;5.1;90;Horror, Mystery, Science Fiction, Thriller, TV Movie;;;
10832;Blood Orgy of the Leather Girls;en;01/01/1988;0.89;4.5;74;Comedy, Crime, Drama, Horror, Thriller;;;
10833;Tomb of Torture;it;26/03/1963;0.6;4.5;87;Horror;;;
10834;The Enchanted;en;01/01/1984;0.737;5.8;89;Fantasy, Horror, Mystery;;;
10835;Creature of Comfort;en;01/01/1968;1.341;0;118;Horror;;;
10836;Refused;el;01/10/1980;0.99;7.4;25;Horror;;;
10837;Mad Cow;en;17/05/2010;0.623;7;90;Comedy, Horror, Science Fiction;;;
10838;Zombie Apocalypse Now: A Zombie Hunter;es;01/03/2008;0.915;2.5;70;Action, Comedy, Horror;;;
10839;Orgy of the Damned;en;07/10/2010;1.284;2;92;Fantasy, Horror, Thriller;;;
10840;Revenge Is Her Middle Name;en;11/08/2011;0.843;0;108;Horror;;;
10841;Come Back to Me;en;25/07/2014;5.162;5.6;90;Horror;;;
10842;Vamps: Deadly Dreamgirls;en;01/01/1995;0.6;6;90;Horror;;;
10843;Vamps 2: Blood Sisters;en;01/01/2002;1.843;2.5;90;Horror;;;
10844;The 50 Best Horror Movies You've Never Seen;en;26/05/2014;2.052;5.7;139;Documentary, Horror;;;
10845;The Horror Vault: Part 1;en;01/01/2008;0.6;3;111;Horror, Thriller;;;
10846;The Deed To Hell;en;16/04/2008;0.6;0;0;Horror;;;
10847;The Los Angeles Ripper;en;07/08/2011;1.357;0;78;Horror, Thriller;;;
10848;Witch;en;11/09/2013;0.6;5;7;Drama, Horror, Thriller;;;
10849;Mutation 2 - Generation Dead;de;22/10/2001;0.621;4;84;Horror, Science Fiction;;;
10850;Delicacy;en;20/04/2013;0.6;7.5;11;Drama, Horror;;;
10851;Necromaniac: Schizophreniac 2;en;01/01/1999;0.621;2;93;Horror;;;
10852;School of Horror;en;02/10/2007;1.543;1.5;98;Horror;;;
10853;The Big Finish;en;01/01/2000;0.6;7;94;Horror;;;
10854;Invicta;en;01/01/2009;1.299;2;76;Comedy, Horror;;;
10855;Someone Is Watching You;es;03/11/1988;0.6;7;69;Fantasy, Horror, Mystery, Science Fiction;;;
10856;Cannibal Flesh Riot;en;07/10/2007;0.6;6;31;Comedy, Horror;;;
10857;Murder in Miami;en;18/02/2014;0.635;6;87;Horror, Mystery, Thriller;;;
10858;The Horror Within;en;15/11/2005;0.935;0;81;Horror;;;
10859;The Legend of Six Fingers;en;24/06/2014;1.585;3;75;Horror;;;
10860;Eat;en;06/07/2014;3.285;5.1;92;Drama, Horror, Thriller;;;
10861;Dark Fables;pt;28/01/2015;0.836;5.7;93;Action, Fantasy, Horror;;;
10862;Unfriended;en;22/10/2014;26.72;5.5;82;Horror, Mystery, Thriller;;;
10863;The Man in the Orange Jacket;lv;27/02/2014;0.625;5.7;71;Crime, Horror, Thriller;;;
10864;The Midnight Swim;en;26/06/2015;2.861;5.1;84;Drama, Horror, Mystery;;;
10865;Suburban Gothic;en;19/07/2014;7.516;5.5;90;Comedy, Horror;;;
10866;Misteri Dendam Balan Balan The Movie;en;01/01/2012;0.6;0;92;Horror, Mystery;;;
10867;Momok The Movie;ms;20/09/2009;0.6;0;96;Horror;;;
10868;The Land of College Prophets;en;07/03/2005;1.341;9;83;Action, Comedy, Fantasy, Horror;;;
10869;Rasuk 2003;en;01/01/2003;0.6;0;103;Horror;;;
10870;The Returning;cn;;;;;;;;
10871;The Shadow Within;en;15/11/2007;0.835;6.2;94;Horror, Thriller;;;
10872;Ee Bhargavi Nilayam;ml;13/12/2002;0.621;4;0;Horror;;;
10873;The Dead Walk;en;06/06/2008;1.504;2;90;Horror;;;
10874;Potret Mistik;en;10/03/2005;1.4;7;108;Horror;;;
10875;Sandman;en;01/01/1993;1.169;5;100;Horror;;;
10876;Shake, Rattle & Roll II;en;25/12/1990;1.468;5;120;Comedy, Horror, Thriller;;;
10877;Da Sweet Blood of Jesus;en;22/06/2014;8.98;4.9;123;Drama, Horror, Romance;;;
10878;Shake, Rattle & Roll III;tl;25/12/1991;1.542;8;114;Comedy, Horror, Thriller;;;
10879;Shake, Rattle & Roll IV;en;25/12/1992;0.859;0;113;Comedy, Horror, Thriller;;;
10880;Shake, Rattle & Roll V;en;25/12/1994;0.6;0;0;Comedy, Horror, Thriller;;;
10881;The Iceman and the Psychiatrist;en;01/06/2004;1.616;7.3;48;Crime, Documentary, Horror, Thriller;;;
10882;The Last Supper;ml;09/05/2014;0.655;1;110;Adventure, Horror, Thriller;;;
10883;Chasing Darkness;en;18/08/2007;0.622;3;0;Horror;;;
10884;Bloodmarsh Krackoon;en;20/05/2014;1.23;1;0;Comedy, Horror;;;
10885;Puzzle;ja;08/03/2014;3.283;7;85;Horror, Thriller;;;
10886;Julia;en;03/01/2015;4.812;5.1;95;Horror, Thriller;;;
10887;The Feral Man;en;21/08/2002;0.6;0;65;Horror;;;
10888;You Belong to Me;en;01/01/2008;1.73;3;89;Crime, Horror, Mystery, Thriller, TV Movie;;;
10889;The Addicted;en;01/01/2014;0.998;2;90;Horror;;;
10890;Buried in the Sand: The Deception of America;en;21/09/2004;1.196;5;66;Documentary, Horror, War;;;
10891;Chrysalis;en;24/04/2014;2.059;4.6;100;Drama, Horror, Science Fiction;;;
10892;Infliction;en;01/01/2012;2.391;3.7;100;Drama, Horror;;;
10893;Edison Death Machine;en;01/01/2006;0.931;0;105;Horror;;;
10894;Daisy Derkins, Dogsitter of the Damned;en;01/01/2013;0.932;0;75;Comedy, Horror;;;
10895;The Fury Within;en;28/10/1998;0.912;3.7;91;Drama, Family, Horror;;;
10896;Horno;en;28/07/2009;0.712;4.3;50;Comedy, Horror;;;
10897;In a Moment of Passion;en;01/01/1993;0.978;0;100;Crime, Drama, Horror, Mystery;;;
10898;Carnage for the Destroyer;en;03/03/2006;0.6;1.7;65;Horror;;;
10899;Fantom Kiler 3;pl;11/06/2003;0.687;2;0;Crime, Horror;;;
10900;Specter;en;09/09/2014;2.255;3.3;81;Horror, Science Fiction, Thriller;;;
10901;The Caretakers;en;28/06/2014;0.663;2.3;0;Horror, Thriller;;;
10902;Rasukan Ablasa;en;28/02/2009;0.6;0;76;Horror;;;
10903;Zombie Werewolves Attack!;en;03/10/2009;0.668;1;71;Horror;;;
10904;Punnami Naagu;te;13/06/1980;0.6;0;0;Drama, Horror;;;
10905;Beranak Dalam Kubur;en;23/09/2013;0.624;10;96;Horror;;;
10906;Catch of the Day;en;12/09/2014;1.342;10;70;Comedy, Horror;;;
10907;Head Cases: Serial Killers in the Delaware Valley;en;28/09/2013;1.883;5.3;90;Horror, Thriller;;;
10908;Ten;en;28/03/2014;1.805;4.6;83;Adventure, Horror, Mystery, Thriller;;;
10909;Bombshell Bloodbath;en;09/05/2014;2.238;4.3;80;Horror;;;
10910;Cannibal Lolita;en;20/04/2010;3.893;4;92;Horror;;;
10911;Haunted Trailer;en;22/07/2014;1.375;1;0;Comedy, Horror;;;
10912;Cool As Hell;en;19/02/2013;1.87;2.3;100;Comedy, Horror;;;
10913;Skrip 7707;ms;16/07/2009;1.045;4;86;Horror;;;
10914;Shadow of Illusion;it;01/01/1970;0.6;6.3;88;Horror, Thriller;;;
10915;Killer Legends;en;01/07/2014;4.026;5.8;86;Crime, Documentary, History, Horror;;;
10916;He Never Died;en;18/12/2015;9.109;6.1;99;Comedy, Drama, Fantasy, Horror;;;
10917;The Resurrection Game;en;01/01/2001;1.225;4;91;Comedy, Horror;;;
10918;Death Do Us Apart;en;22/05/2014;0.6;0;90;Comedy, Horror;;;
10919;You Believe In Ghost;en;17/05/2012;0.6;0;76;Horror;;;
10920;Of Silence;en;14/01/2014;1.246;3.8;94;Drama, Horror, Science Fiction, Thriller;;;
10921;Trick of the Witch;en;20/11/2010;0.6;5;110;Horror, Thriller;;;
10922;Mortys;fr;04/10/2011;0.743;7.4;8;Animation, Comedy, Fantasy, Horror;;;
10923;Crossland;en;03/01/2013;1.187;0;70;Horror, Thriller;;;
10924;Shockwave Darkside;en;22/08/2014;2.432;1.3;87;Action, Horror, Science Fiction;;;
10925;The Forgotten;en;;;;;;;;
10926;Dead Within;en;23/08/2014;3.39;3.9;91;Drama, Horror, Thriller;;;
10927;White Settlers;en;05/09/2014;7.771;4.6;83;Horror, Mystery, Thriller;;;
10928;Zombio 2: Chimarrão Zombies;pt;04/05/2013;2.218;6;100;Comedy, Horror;;;
10929;Show Pieces;en;23/08/2014;0.6;6.3;71;Horror, Science Fiction, Thriller;;;
10930;Digging Up the Marrow;en;20/02/2015;6.837;5.6;98;Drama, Fantasy, Horror, Mystery, Science Fiction, Thriller;;;
10931;The Sleeping Room;en;23/08/2014;1.991;3.2;75;Horror;;;
10932;The Mirror;en;08/09/2014;4.36;4;88;Horror;;;
10933;X Moor;en;25/08/2014;2.401;4.1;76;Horror, Thriller;;;
10934;I Survived a Zombie Holocaust;en;25/08/2014;2.898;5.5;104;Comedy, Horror;;;
10935;Altergeist;en;25/08/2014;2.174;4.5;90;Horror, Science Fiction, Thriller;;;
10936;Lemon Tree Passage;en;25/08/2014;8.037;4.2;84;Horror, Mystery, Thriller;;;
10937;The Remaining;en;25/08/2014;106.016;5.7;88;Horror, Thriller;;;
10938;Blood Moon;en;25/08/2014;10.521;5.8;90;Horror, Western;;;
10939;Asmodexia;es;19/04/2014;3.506;4.5;90;Horror;;;
10940;Insidious: Chapter 3;en;28/05/2015;48.653;6.3;97;Drama, Horror, Thriller;;;
10941;Aranmanai;ta;19/09/2014;1.866;5.4;161;Comedy, Horror;;;
10942;Hazard Jack;en;13/05/2014;2.719;4.1;82;Horror;;;
10943;Eat Me!;en;10/11/2010;0.6;3;90;Comedy, Horror;;;
10944;Vismayathumbathu;ml;09/04/2004;3.795;4.6;149;Horror, Mystery;;;
10945;Morana;sl;01/01/1994;0.6;5.3;95;Horror, Mystery, Thriller;;;
10946;Tabloid!;en;01/01/1985;0.698;6;88;Comedy, Horror;;;
10947;Nagin;hi;;;;;;;;
10948;House at the End of the Drive;en;11/01/2014;2.177;9.3;91;Horror, Thriller;;;
10949;Opus #5;en;01/01/1962;0.6;0;5;Horror;;;
10950;The Young Dracula;es;10/09/1977;0.6;0;102;Comedy, Horror;;;
10951;Freaky Night;en;20/02/2012;0.6;4.5;15;Horror;;;
10952;Her Name Was Torment;en;29/04/2014;0.6;6.3;50;Horror;;;
10953;Where the Truth Lies;fr;;;;;;;;
10954;I like;de;09/10/2014;1.4;10;0;Horror, Thriller;;;
10955;The Cohasset Snuff Film;en;31/10/2012;1.752;4.5;85;Crime, Horror, Thriller;;;
10956;Dark Enemy;en;06/07/1984;0.6;0;82;Drama, Fantasy, Horror;;;
10957;State Of Mind;en;01/01/1992;0.6;7;93;Horror;;;
10958;The Monkey's Paw;en;01/01/1978;0.873;8;20;Family, Horror;;;
10959;Last Remaining Light;en;05/03/2010;0.6;5.3;29;Horror, Mystery, Thriller;;;
10960;Pengantin Malam;en;19/06/2014;0.893;0;85;Horror;;;
10961;Blood Cabin;en;;;;;;;;
10962;Kentucky Fried Zombies;en;09/07/2008;0.6;6;84;Comedy, Horror;;;
10963;Bunks;en;27/10/2013;15.89;5.8;80;Comedy, Horror, TV Movie;;;
10964;Death Factory;en;07/07/2014;3.571;3.4;80;Horror;;;
10965;A Chilling Cosplay;zh;29/10/2013;2.005;4.4;95;Action, Drama, Horror, Thriller;;;
10966;Misteri Jam 12 Kronik;en;01/01/2012;0.6;0;75;Horror;;;
10967;Dead Island: School's Out 2;de;28/02/2001;0.924;5;94;Horror, Thriller, TV Movie;;;
10968;Sundelbolong;id;02/08/1981;1.101;0;102;Horror;;;
10969;Idol of Evil: Hell Is Forever;en;19/04/2011;0.6;2.8;95;Horror;;;
10970;Midnight's Child;en;21/04/1992;0.84;5.2;89;Horror, Thriller;;;
10971;Nenek Bongkok Tiga;en;15/05/2012;0.6;0;86;Horror;;;
10972;Niyang Rapik;ms;13/05/2010;0.6;6;110;Horror;;;
10973;My Soul Is Slashed;ja;01/06/1991;0.84;6;98;Comedy, Horror;;;
10974;Lady Morgan's Vengeance;it;16/12/1965;0.801;5.8;79;Horror;;;
10975;Affliction;en;01/01/2012;0.6;0;90;Horror;;;
10976;Blue Vengeance;en;01/01/1989;2.29;5;103;Action, Crime, Horror, Thriller;;;
10977;Filthy McNasty;en;04/03/2002;0.6;5;47;Comedy, Fantasy, Horror;;;
10978;Freez'er;en;10/07/2001;0.6;5.5;0;Horror, Thriller;;;
10979;Potpourri;en;01/01/2011;1.769;7.5;90;Comedy, Fantasy, Horror, Mystery;;;
10980;Nightfall;en;18/06/2009;0.84;0;86;Horror, Thriller;;;
10981;American Mummy;en;04/07/2014;2.874;4.6;82;Horror;;;
10982;Amicus: House of Horrors;en;30/10/2012;0.776;10;121;Documentary, Horror;;;
10983;Bikini Bloodbath: Shakespeare;en;05/01/2013;0.6;10;62;Horror;;;
10984;The Lawnmower Man;en;10/10/1987;0.6;4.8;12;Horror;;;
10985;Kissing Darkness;en;05/02/2014;2.029;5;87;Comedy, Horror, Thriller;;;
10986;Demons at the Door;en;;;;;;;;
10987;Tagus Ranch Massacre;en;21/12/2012;0.6;0;76;Horror;;;
10988;The Horror Vault 3;en;13/07/2010;1.546;4;104;Comedy, Horror;;;
10989;Living Dolls;en;01/01/1980;0.6;6.7;9;Horror;;;
10990;The Bunnyman Massacre;en;18/04/2014;5.576;6;90;Horror;;;
10991;Ammoru;te;16/06/1995;0.716;6.3;129;Fantasy, Horror;;;
10992;Under the Scares;en;01/07/2010;1.649;0;110;Documentary, Horror;;;
10993;ErOddity(s);en;;;;;;;;
10994;The Curse of Marialva;pt;14/11/1991;0.6;2;82;Drama, Fantasy, Horror;;;
10995;The Mummy;en;06/06/2017;37.742;5.5;110;Action, Adventure, Fantasy, Horror, Thriller;;;
10996;Parasyte: Part 1;ja;;;;;;;;
10997;Parasyte: Part 2;ja;;;;;;;;
10998;The Gravedigger;pt;08/12/2012;0.6;9;14;Animation, Fantasy, Horror;;;
10999;Frankenstein's Bloody Nightmare;en;19/05/2006;0.6;8;77;Horror;;;
11000;Nocturno;sh;01/01/1974;1.376;0;84;Drama, Fantasy, Horror;;;
11001;Craters of the Moon;en;18/07/2014;0.945;5;77;Drama, Horror, Thriller;;;
11002;Dr. Jekyll and Mr. Hyde;en;17/09/2002;1.006;5;109;Drama, Horror, Science Fiction;;;
11003;Pizza;hi;18/07/2014;2.814;4.6;107;Horror, Thriller;;;
11004;Dugo ng Vampira;tl;01/01/1969;0.6;10;110;Horror;;;
11005;Fisheye;sh;01/10/1980;0.6;6;9;Animation, Drama, Horror, Mystery;;;
11006;The Music of Erich Zann;en;01/10/1980;0.669;5.8;18;Horror, Mystery;;;
11007;Ghost Money;th;07/04/1981;0.674;6;123;Horror, Mystery;;;
11008;Bag Boy Lover Boy;en;23/07/2014;1.826;3.6;77;Comedy, Horror;;;
11009;Hands of Purple Distances;sh;01/01/1962;0.6;5.8;10;Horror;;;
11010;Hunting the Legend;en;21/07/2014;1.267;2.6;96;Horror, Mystery, Thriller;;;
11011;End of the Wicked;en;01/01/1999;0.6;1.3;94;Horror;;;
11012;Shock;en;05/11/2010;0.6;0;0;Horror;;;
11013;Apthamitra;kn;27/08/2004;0.6;8.3;146;Drama, Horror, Thriller;;;
11014;Masks: Sentient;en;05/10/2013;0.705;6.8;20;Drama, Horror, Thriller;;;
11015;Paranormal Captivity;en;30/09/2012;1.526;4;90;Drama, Horror, Thriller;;;
11016;Methodic 1.5;en;23/10/2009;0.6;5.6;22;Horror;;;
11017;Mirror of Flesh;pt;21/11/1984;0.6;2.5;102;Drama, Horror;;;
11018;Splendid Outing;ko;10/03/1978;0.656;7;95;Drama, Horror, Thriller;;;
11019;iPsycho;en;13/08/2010;0.6;5.3;15;Drama, Horror;;;
11020;The Satanist;en;20/06/1968;0.6;4.7;64;Horror;;;
11021;The Pyramid;en;04/12/2014;25.486;5.2;89;Horror;;;
11022;Evil Never Dies;en;01/06/2003;1.846;5.8;205;Horror, Thriller;;;
11023;Avatar;ja;30/04/2011;1.256;5.8;93;Horror;;;
11024;Nightshade;de;01/07/1972;0.6;5;96;Horror, Mystery;;;
11025;Reset;en;11/07/2014;1.4;0;87;Horror;;;
11026;The Phantom of the Red House;es;02/02/1956;1.694;5.3;91;Comedy, Horror;;;
11027;Mr. Stitches;en;01/01/2006;0.6;0;63;Horror, Western;;;
11028;Amukan Puaka;en;01/01/2003;0.6;10;100;Horror;;;
11029;Babylon;de;20/10/1991;1.676;5;85;Drama, Horror, Thriller;;;
11030;Die Gstettensaga: The Rise of Echsenfriedl;en;10/03/2014;1.207;5.7;72;Comedy, Fantasy, Horror, Science Fiction;;;
11031;Yakuza Apocalypse;ja;21/05/2015;6.336;5.9;115;Action, Horror;;;
11032;Cross Bearer;en;09/10/2013;2.025;4;71;Horror;;;
11033;Anak Setan;en;01/01/1974;0.6;0;100;Horror;;;
11034;Midnight Show;en;23/10/2016;2.044;8.5;75;Comedy, Horror;;;
11035;Death Rattle;en;13/07/2012;0.6;5.3;6;Horror;;;
11036;The Possession of Father Thomas;en;03/06/2004;0.6;3.5;0;Horror;;;
11037;Hunters;en;24/06/2016;1.432;5;0;Horror;;;
11038;Third Eye;en;26/02/2014;1.371;3.2;90;Horror;;;
11039;The Ridge;en;05/10/2005;1.16;5.5;86;Horror, Thriller;;;
11040;Seed 2;en;25/07/2014;4.665;3.3;78;Horror, Thriller;;;
11041;Bees;en;01/01/1998;0.6;0;0;Horror;;;
11042;Addicted to Murder 2: Tainted Blood;en;01/10/1998;0.697;2;74;Horror;;;
11043;Arrombada - I Will Piss in Your Grave;pt;06/02/2007;0.6;5.5;39;Comedy, Horror, Thriller;;;
11044;A Curtição do Avacalho;pt;14/06/2006;0.6;0;73;Comedy, Horror;;;
11045;Sinister 2;en;19/08/2015;31.394;5.8;97;Horror;;;
11046;Max Headroom Pirating Incident;en;22/11/1987;1.664;9.3;2;Comedy, Horror;;;
11047;Numbalikdiwa;tl;01/11/2006;0.842;0;0;Horror;;;
11048;Crack Dog;en;24/07/1988;0.6;5;5;Comedy, Horror;;;
11049;The Forgotten Wells;en;12/09/1994;0.6;1.5;90;Action, Horror, Thriller;;;
11050;Out of the Dark;en;27/08/2014;11.535;5;92;Horror, Thriller;;;
11051;Bitches of Bloody Sex;pt;13/02/2008;1.924;6.2;30;Comedy, Horror;;;
11052;Migrating Forms;en;03/03/2000;0.6;6;80;Drama, Horror;;;
11053;Ninja Apocalypse;en;05/08/2014;6.974;3.5;84;Action, Fantasy, Horror, Science Fiction;;;
11054;Serenity Farm;en;06/06/2014;0.957;4.3;86;Horror, Thriller;;;
11055;Tuck Me In;en;03/06/2014;1.152;6.9;1;Horror, Thriller;;;
11056;The Closet;en;13/03/2011;0.6;5.1;3;Horror;;;
11057;Rabbit 105;es;26/09/2013;0.6;0;17;Horror;;;
11058;Vampire Buster;cn;;;;;;;;
11059;My Honeymoon with a Vampire;en;01/01/2003;0.6;0;90;Horror;;;
11060;Angel of Darkness Volume 1;ja;21/10/1994;1.47;7.3;45;Animation, Horror;;;
11061;Angel of Darkness Volume 2;ja;30/06/1995;0.6;6;45;Animation, Horror;;;
11062;Angel of Darkness Volume 3;ja;25/08/1995;0.6;6;45;Animation, Horror;;;
11063;Angel of Darkness Volume 4;ja;22/11/1995;0.6;5;40;Animation, Horror;;;
11064;Demon Beast Invasion Volume 3;ja;25/08/1991;0.656;0;45;Animation, Horror;;;
11065;Demon Beast Invasion Volume 4;ja;18/10/1991;0.654;0;45;Animation, Horror;;;
11066;Mourning Grave;ko;02/07/2014;5.735;7.2;90;Comedy, Horror, Romance, Thriller;;;
11067;Bigfoot: Blood Trap;en;31/10/2017;1.464;0;90;Comedy, Horror;;;
11068;Ghostbreakers;en;08/09/1967;0.6;0;60;Horror, TV Movie;;;
11069;Winepires: Blood Toll;sl;11/11/2012;0.6;1;90;Horror;;;
11070;Black Sugar;en;13/10/2013;1.323;6.5;12;Horror, Science Fiction;;;
11071;Fear No Evil;en;03/03/1969;1.474;6.2;98;Horror, Thriller, TV Movie;;;
11072;Cub;fr;29/10/2014;8.418;5.5;85;Adventure, Horror;;;
11073;Goodnight Mommy;de;07/10/2014;54.063;6.7;100;Drama, Horror, Mystery, Thriller;;;
11074;Shrew's Nest;es;21/09/2014;9.472;6.9;91;Drama, Horror, Thriller;;;
11075;Murder Is Like Sex;en;07/04/2009;0.937;2;112;Horror;;;
11076;Pleasure Kill;ja;01/10/1987;0.6;5;57;Horror, Science Fiction;;;
11077;31;en;15/09/2016;18.82;5.4;102;Crime, Horror;;;
11078;The Vanished;ja;25/03/2006;1.96;5.6;95;Horror;;;
11079;Uncle David;en;25/03/2010;1.363;4.6;95;Drama, Horror, Thriller;;;
11080;Space Wolf;de;15/02/2003;0.6;3;75;Horror;;;
11081;Sharktopus vs. Pteracuda;en;02/08/2014;8.313;4.1;84;Horror, Science Fiction, TV Movie;;;
11082;Lyle;en;28/07/2014;1.563;4;65;Drama, Horror;;;
11083;Lust;it;04/09/1979;1.195;5.7;87;Horror, Science Fiction;;;
11084;The Orgies of Dr. Orloff;es;04/10/1967;1.134;7;89;Crime, Horror;;;
11085;Scooby-Doo! Frankencreepy;en;19/08/2014;17.711;7.8;74;Adventure, Animation, Comedy, Family, Fantasy, Horror, Mystery, Science Fiction;;;
11086;Dark Surface;en;27/11/2012;0.6;5;5;Fantasy, Horror, Science Fiction;;;
11087;Path of Terror;en;14/11/2014;0.6;0.5;0;Horror;;;
11088;Escape from Hellview;en;01/09/2011;0.6;4.3;7;Animation, Fantasy, Horror, Thriller;;;
11089;Grandmother;en;02/08/2014;0.6;7;17;Drama, Horror, Thriller;;;
11090;Stomping Ground;en;08/06/2014;1.515;6.7;80;Comedy, Horror;;;
11091;The Eye of Menw;en;01/04/2008;0.6;4.3;27;Horror;;;
11092;Famous Monster: Forrest J Ackerman;en;16/05/2007;0.613;9;48;Documentary, Horror, Science Fiction;;;
11093;She Devil;th;27/02/2014;0.6;7;98;Horror, Romance;;;
11094;On The Verge Of Death;zh;27/01/1973;0.84;0;84;Action, Adventure, Fantasy, Horror;;;
11095;Hour of Fear;pt;01/01/1986;1.02;6.3;78;Crime, Horror, Thriller;;;
11096;The Darkness;hi;22/05/1975;0.6;0;110;Horror;;;
11097;Sannata;hi;31/07/1981;0.957;0;106;Horror, Mystery, Romance;;;
11098;Haveli;hi;01/01/1985;1.4;5;119;Crime, Horror, Thriller;;;
11099;The Face at the Window;en;;;;;;;;
11100;Doctor Without Scruples;de;04/09/1959;1.341;0;95;Drama, Horror;;;
11101;ECHOES;en;13/10/2013;0.6;0;7;Horror;;;
11102;Horsehead;en;07/09/2014;4.966;5.3;89;Fantasy, Horror;;;
11103;Local God;es;01/10/2014;0.6;0;90;Horror;;;
11104;Norway;el;07/07/2014;0.765;5.7;74;Comedy, Drama, Fantasy, Horror;;;
11105;Call Girl of Cthulhu;en;08/05/2014;3.339;5.7;92;Comedy, Horror;;;
11106;Alleluia! The Devil's Carnival;en;29/03/2016;1.72;6.3;97;Horror, Music;;;
11107;Teen Lust;en;04/09/2014;5.297;4.8;80;Comedy, Horror;;;
11108;The Editor;en;11/09/2014;7.152;5.6;95;Comedy, Horror, Mystery;;;
11109;Bite School;en;15/09/2015;1.311;5;90;Comedy, Horror;;;
11110;Noche del Ratón;es;30/01/2015;0.657;3.5;80;Horror, Thriller;;;
11111;Angelica;en;17/11/2017;5.032;4.9;95;Drama, Horror, Thriller;;;
11112;Antisocial Behavior;en;17/01/2014;1.689;3.8;86;Horror, Thriller;;;
11113;The Dead Nurse;id;10/05/2007;0.6;0;87;Horror;;;
11114;Shadow Zombie;en;04/10/2013;0.6;4.8;78;Horror, Romance;;;
11115;Edward Lee's the Bighead;en;23/09/2013;0.6;5;24;Horror;;;
11116;Rumah Kentang;en;04/10/2012;0.6;1.5;102;Horror;;;
11117;Miss Morison's Ghosts;en;;;;;;;;
11118;Creepy Tales: Girls Night Out;en;07/10/2003;0.6;9;120;Horror;;;
11119;Classroom 6;en;14/04/2015;3.666;4.8;76;Horror;;;
11120;Feed the Gods;en;25/11/2014;1.065;3.7;84;Adventure, Horror, Thriller;;;
11121;Treehouse;en;20/10/2014;4.035;4.2;96;Horror, Mystery, Thriller;;;
11122;Scooby-Doo! and the Spooky Scarecrow;en;10/09/2013;9.244;8.9;23;Animation, Comedy, Family, Horror, Mystery;;;
11123;Ich piss' auf deinen Kadaver;de;11/11/1999;0.6;4;88;Action, Horror;;;
11124;Varsity Blood;en;19/08/2014;3.013;3.9;86;Horror;;;
11125;One Night Stand;en;07/07/2010;0.6;5.8;7;Drama, Horror, Thriller;;;
11126;The Devil's Mile;fr;26/07/2014;0.941;3.5;88;Action, Crime, Horror;;;
11127;Train of the Dead;th;10/05/2007;2.255;4.6;87;Horror;;;
11128;Crawl or Die;en;13/08/2014;3.83;5.1;73;Horror, Science Fiction, Thriller;;;
11129;Gabi ng Lagim;tl;29/02/1960;1.4;5.8;72;Horror;;;
11130;Vayanadan Thampan;ml;14/09/1978;0.84;0;100;Action, Fantasy, Horror;;;
11131;Cold Head;fr;01/05/1970;0.6;2;13;Horror;;;
11132;Dark Dungeons;en;15/08/2014;1.058;2.8;40;Drama, Fantasy, Horror;;;
11133;Killer Biker Chicks;en;;;;;;;;
11134;The Trek;th;24/07/2002;3.531;5;102;Adventure, Horror, Thriller;;;
11135;Greetings;en;23/10/2007;2.066;1;71;Horror;;;
11136;Thou Shalt Not Swear;cn;03/09/1993;2.297;4;91;Comedy, Horror;;;
11137;Innocence;en;05/09/2013;5.226;4.1;96;Adventure, Fantasy, Horror, Mystery, Romance, Thriller;;;
11138;The Best of Gesichter des Todes;de;11/11/1992;0.6;5;87;Documentary, Horror;;;
11139;The Town that Dreaded Sundown;en;16/10/2014;16.546;5.8;85;Horror, Thriller;;;
11140;Bunshinsaba;zh;17/07/2012;0.633;3.8;94;Horror, Mystery, Thriller;;;
11141;Bunshinsaba 3;zh;;;;;;;;
11142;The Lonely Killers;fr;01/01/1972;0.6;5;82;Crime, Horror;;;
11143;Hell's Belles;en;17/04/1995;0.84;2.3;93;Comedy, Fantasy, Horror;;;
11144;Viola;en;01/01/1967;0.6;0;26;Horror;;;
11145;Beloved Sister;de;09/10/2002;1.42;0;91;Horror, TV Movie;;;
11146;3 Scream Queens;en;25/11/2014;6.525;4.7;75;Comedy, Horror;;;
11147;Maggie;en;08/05/2015;23.679;5.4;95;Drama, Horror, Mystery;;;
11148;Copiii: The 1st Entry;en;28/10/2013;1.513;3.6;73;Horror;;;
11149;Maniac 2: Mr. Robbie;en;01/11/1986;1.379;6.1;8;Horror;;;
11150;House of Forbidden Secrets;en;10/10/2013;1.749;4.1;98;Horror;;;
11151;Death House;en;28/02/2018;4.495;4;88;Action, Crime, Fantasy, Horror, Thriller;;;
11152;Fear Clinic;en;31/10/2014;5.035;4.3;95;Horror;;;
11153;Kantemir;en;18/08/2015;2.831;4.3;84;Horror, Thriller;;;
11154;Zombie Mutation;en;;;;;;;;
11155;Witches Blood;en;26/04/2014;0.974;1;75;Horror;;;
11156;The Vampyre Wars;en;01/01/1996;1.662;0;0;Horror;;;
